French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
je,I
de,of
est,East
pas,not
le,THE
vous,YOU
la,there
tu,you
que,that
un,A
il,he
et,And
à,has
a,has
ne,born
les,THE
ce,This
en,in
on,we
ça,That
une,a
ai,have
pour,For
des,of the
moi,Me
qui,Who
nous,We
y,Y
mais,but
me,me
dans,In
du,of
bien,GOOD
elle,She
si,if
tout,All
plus,more
non,No
mon,My
suis,am
te,you
au,At
avec,with
va,go
oui,Yes
toi,You
fait,do
ils,they
as,AS
être,be
faire,TO DO
se,se
comme,as
était,was
sur,on
quoi,What
ici,here
sais,know
lui,him
veux,want
ma,my
là,there
rien,Nothing
dit,said
es,es
où,Or
votre,your
pourquoi,Why
sont,are
cette,this
quand,When
par,by
son,her
ton,your
peux,can
vais,go
dire,say
alors,SO
comment,how
avez,have
bon,Good
ou,Or
très,very
merci,THANKS
ont,have
même,even
jamais,Never
aussi,Also
voir,see
chose,thing
allez,Go on
tous,all
deux,two
ces,these
faut,must
sa,her
êtes,are
été,summer
ta,your
fais,do
avoir,to have
peut,can
autre,other
m,M
encore,Again
maintenant,NOW
peu,little
mes,my
vraiment,Really
temps,time
notre,OUR
toujours,always
vie,life
sans,without
juste,just
oh,Oh
avait,had
accord,agreement
vu,seen
monde,world
quelque,some
fois,times
aller,go
trop,too much
viens,come
crois,believe
dieu,God
dois,must
homme,man
père,father
sûr,on
aux,to
leur,their
avant,Before
étais,is
besoin,need
femme,women
aime,love
personne,person
avais,had
chez,at the house of
vrai,TRUE
ans,years
mal,wrong
ses,his
parler,talk
vos,your
après,After
mort,dead
veut,wanna
eu,eu
sera,will be
bonne,Good
parce,because
mieux,better
petit,little
voilà,There
tes,your
ca,That
dis,say
beaucoup,a lot
depuis,Since
doit,must
vois,see
mère,mother
vas,go
monsieur,Sir
quel,what
déjà,Already
fille,girl
gens,people
donc,SO
jour,day
soir,evening
autres,others
toute,all
bonjour,Good morning
maison,House
nom,name
argent,money
nos,our
ouais,Yeah
pense,think
merde,shit
nuit,night
papa,dad
cela,that
salut,Hi
cet,this
avons,have
reste,stay
désolé,Sorry
maman,Mom
peur,fear
arrive,arrived
seul,alone
vite,quickly
prendre,take
regarde,look at
air,air
soit,either
trois,three
quelle,what
passé,pass
savoir,know
plaît,jail
choses,things
moins,less
fils,son
entre,between
bas,down
appelle,call
passe,pass
ah,ah
tête,head
demain,tomorrow
grand,big
arrête,stopped
faites,do
voulez,want
hé,Hey
attends,hold on
hein,eh
enfants,children
assez,enough
raison,reason
aurais,would have
voulais,wanted
elles,they
parle,speak
ok,OK
jours,days
dû,of
moment,moment
heure,hour
puis,Then
gars,guys
hommes,men
amour,love
tard,late
toutes,all
sommes,are
tuer,kill
eh,eh
ami,friend
connais,know
petite,small
aider,help
chance,chance
savez,know
partir,leave
sait,knows
combien,How much
voiture,car
tant,so much
pris,taken
part,go
problème,issue
prends,take
porte,door
coup,cut
serait,would be
venir,come
famille,family
travail,work
pu,could
seule,alone
sens,sense
ni,neither
allons,let's go
revoir,goodbye
idée,idea
putain,whore
passer,pass
contre,against
comprends,understand
entendu,heard
trouvé,find
trouver,find
vieux,old
vient,come
pendant,during
aurait,would have
quelques,a few
attention,attention
demande,request
chercher,seek
sous,below
voici,here is
pourrait,could
sang,blood
pouvez,can
sortir,to go out
question,question
histoire,history
amis,friends
venez,come
frère,brother
rester,stay
fini,finished
ville,city
nouveau,new
truc,thing
tiens,hold
mois,month
eux,them
mec,dude
yeux,eyes
laisse,leave alone
super,great
belle,beautiful
longtemps,a long time
police,police
eau,water
heures,hours
car,because
importe,imported
cas,case
vont,are going
chaque,each
terre,earth
place,place
tué,kill
type,kind
main,hand
pardon,pardon
ensemble,together
seulement,only
guerre,war
beau,beautiful
vers,towards
prie,pray
devant,in front
trouve,find
partie,part
suite,following
compris,Understood
matin,Morning
leurs,their
aucun,none
arrivé,arrived
dessus,above
chérie,Dear
mettre,put
aide,help
étaient,were
perdu,lost
fin,END
sois,be
premier,first
genre,gender
aimerais,would like to
droit,right
donne,given
attendez,wait
jeune,young
feu,fire
devrais,should
enfant,child
chambre,bedroom
gros,fat
côté,side
venu,came
loin,far
laisser,to leave
donner,give
jouer,play
savais,knew
compte,account
s,s
parlé,speak
minutes,minutes
regardez,look
train,train
première,first
pouvoir,power
aura,will have
mourir,die
dernière,last
donné,given
mari,husband
écoute,listen
enfin,Finally
devrait,should
mis,put
film,movie
aucune,none
fort,strong
façon,way
pays,country
prêt,ready
madame,Mrs
femmes,women
affaire,affair
pourrais,could
espère,hope
parti,left
h,h
boulot,job
endroit,place
fou,mad
corps,body
hier,yesterday
dont,of which
désolée,Sorry
grande,big
point,point
cinq,five
dehors,out
filles,girls
cause,cause
vivre,live
près,close
pensais,thought
garçon,boy
chef,chief
haut,high
capitaine,captain
dirait,would say
bébé,baby
celui,the one
demandé,request
possible,possible
mains,hands
ainsi,Thus
quatre,four
nouvelle,new
années,years
plein,full
semaine,week
dites,say
croire,believe
marche,walk
tour,round
école,school
manger,eat
plutôt,instead
docteur,doctor
ceux,those
vérité,truth
vue,view
arrêter,Stop
essaie,try
envie,envy
bientôt,Soon
instant,moment
dernier,last
affaires,business
arriver,arrive
demander,ask
meilleur,best
font,make
derrière,behind
c,vs
dollars,dollars
presque,almost
dr,DR
tellement,such
tomber,to fall
journée,daytime
voulait,wanted to
appeler,to call
bureau,desk
confiance,trust
garde,guard
attendre,to wait for
numéro,number
serai,will be
dur,hard
á,has
souviens,remember
o,o
voyez,see
cours,course
bonsoir,Good evening
route,road
fera,will
prend,takes
cul,ass
abord,on board
important,important
peine,penalty
croyais,believed
mot,word
devez,have to
suffit,enough
minute,minute
ferme,farm
ben,ben
plaisir,pleasure
chien,dog
jeu,game
seigneur,lord
messieurs,gentlemen
calme,calm
voudrais,would like
heureux,happy
prenez,take
mariage,marriage
voit,sees
parents,parents
lls,lls
dedans,inside
entrer,enter
lit,bed
parfait,Perfect
fous,crazy
mlle,Miss
rentrer,to return
ait,has
musique,music
arrêtez,Stop
autant,as much
service,service
reviens,come back
ceci,this
drôle,funny
attend,waits
parfois,Sometimes
téléphone,phone
retour,back
ira,will go
e,e
pauvre,poor
verre,glass
général,general
new,new
six,six
pensé,think
l,L
impossible,impossible
fête,party
adore,adore
coeur,heart
aimes,likes
ci,this
ferai,will do
président,president
doute,doubt
facile,easy
entends,hear
payer,pay
appelé,called
prison,prison
john,john
sors,go outside
café,coffee
vaut,worth
mauvais,bad
chéri,Dear
oublié,forget
bras,arm
i,I
gentil,kind
faute,mistake
équipe,team
exactement,Exactly
cœur,heart
penser,think
changer,to change
commence,begin
lieu,place
entendre,hear
ies,ies
roi,king
plan,plan
partout,everywhere
joue,plays
cher,Dear
morts,dead
rendre,give back
écrit,writing
travailler,to work
malade,sick
sinon,Otherwise
génial,awesome
regarder,look
veulent,want
montrer,to show
rentre,go home
travaille,work
armée,army
voulu,desired
cherche,look for
état,state
boire,drink
sécurité,security
dès,of the
esprit,spirit
année,year
dix,ten
york,york
laissé,leave alone
bois,drink
mets,put
propre,own
soyez,be
jack,jack
essayer,to try
faisait,did
tôt,early
surtout,Above all
arme,armed
t,t
rêve,dream
perdre,lose
avis,notice
semble,seems
pire,worse
simple,simple
penses,thinking
parles,talk
paix,peace
livre,book
dormir,sleep
voyons,let's see
difficile,difficult
retard,delay
allait,was going to
d,d
sujet,subject
appris,learned
ensuite,Next
sauf,except
maître,master
morte,dead
noir,black
or,gold
dîner,dinner
choix,choice
serais,would be
écoute,listen
sale,dirty
étiez,have been
sûrement,certainly
an,year
ordre,order
souvent,often
essayé,try
peuvent,can
visage,face
bout,end
changé,exchange
sérieux,serious
inquiète,worry
âge,age
photo,photo
rue,Street
tirer,to pull
comprendre,to understand
face,face
semaines,weeks
marché,walk
questions,questions
honneur,honor
ciel,sky
allé,go
garder,keep
chemin,path
grave,severe
gauche,LEFT
petits,small
courant,fluent
amie,friend
nouvelles,news
avion,plane
con,stupid
content,thrilled
force,strength
millions,millions
oublie,forget
devoir,duty
prochaine,next
prix,price
propos,about
bateau,boat
bouge,move
voix,voice
rouge,red
restez,Stay
celle,that
pouvais,could
personnes,people
ferais,would do
début,beginning
espèce,species
gueule,mouth
acheter,buy
continue,keep on going
sort,spell
faim,hunger
long,long
j,J
voyage,journey
message,message
sorte,sort
reçu,received
bienvenue,Welcome
idiot,silly
certains,some
hôpital,hospital
promis,promised
devenir,become
ouvre,open
grâce,grace
sûre,safe
problèmes,problems
armes,weapons
trucs,stuff
camp,camp
allais,alla
occupe,busy
devait,was to
manque,lack
connaissez,know
thé,tea
avaient,had
cheveux,hair
soleil,sun
salle,room
gagner,earn
laissez,leave
erreur,error
cru,believed
pars,pars
bizarre,weird
croyez,believe
sac,bag
hôtel,hotel
oncle,uncle
pièce,piece
pouvait,could
fond,bottom
soirée,evening
secret,secret
patron,boss
rapport,report
apprendre,learn
commencé,begin
sauver,save
seconde,second
pensez,Think
allô,Hello
ailleurs,elsewhere
agent,agent
froid,cold
seras,will be
pied,foot
jolie,pretty
revenir,to come back
scène,scene
pieds,feet
n,not
devons,owe
groupe,band
carte,map
aurai,will have
effet,effect
neuf,nine
fallait,had to
monte,mounted
battre,beat
noël,Christmas
venue,coming
mots,words
tire,drawn
droite,RIGHT
libre,free
soeur,sister
situation,situation
seront,will be
faux,fake
bordel,mess
foutre,cum
lumière,light
euh,uh
incroyable,amazing
tue,kill
joli,pretty
connaît,know
debout,standing
colonel,colonel
cheval,horse
écoutez,Listen
george,George
joe,joe
vieille,old
entrez,Come in
intérieur,interior
coin,corner
auras,aura
gagné,won
fric,money
loi,law
absolument,absolutely
dame,lady
cool,cool
magnifique,Magnificent
dos,back
occuper,to occupy
présent,here
retrouver,find
réussi,successful
frank,Frank
rencontrer,meet
aviez,had
meilleure,best
âme,soul
prêts,loans
doucement,gently
table,table
lettre,letter
rappelle,remember
sam,sat
fut,was
risque,risk
ordres,orders
appel,call
commencer,to start
terminé,finished
agit,act
blanc,white
sœur,sister
pareil,The same
charlie,charlie
chaud,hot
finir,finish
touche,touch
avance,advance
ignore,ignore
meurtre,murder
tranquille,calm
anniversaire,birthday
déjeuner,lunch
disais,said
bord,edge
tom,Tom
jeunes,youth
accident,accident
parlez,speak
fasse,do
complètement,completely
déteste,hated
clair,clear
marcher,to walk
disait,said
mauvaise,bad
envoyé,sent
â,has
professeur,teacher
heureuse,happy
doivent,must
midi,noon
lire,read
moyen,AVERAGE
ferait,would do
commandant,commanding officer
vraie,real
sept,seven
forme,shape
tombe,fall
silence,silence
sortez,get out
connaître,to know
puisse,may
cadeau,gift
flics,cops
mer,sea
médecin,doctor
exact,exact
décidé,decided
moitié,half
surprise,surprise
avocat,lawyer
montre,watch
b,B
su,on
porter,to carry
télé,TV
vivant,alive
jure,sworn
disent,say
mr,MR
serez,will be
devriez,should
devenu,became
aimé,love
diable,devil
ligne,line
mission,assignment
suppose,Assumed
chacun,each
autour,around
pote,pal
grosse,fat
expliquer,explain
arrivée,arrival
monter,to go up
balle,ball
selon,according to
photos,Pictures
contrôle,control
prête,ready
anglais,English
sorti,got out
k,k
bons,good
disparu,disappeared
tenir,hold
simplement,simply
quitter,to leave
envoie,send
paul,Paul
aimer,to like
voie,way
paris,Paris
classe,class
huit,eight
offre,offer
poste,job
dangereux,dangerous
attaque,attack
impression,impression
folle,crazy
michael,Michael
mange,eat
bravo,well done
arrière,back
amérique,America
suivre,follow
aille,go
oublier,forget
peuple,people
baiser,kiss
rencontré,encounter
honte,shame
connard,asshole
trou,hole
retourner,return
chanson,song
change,exchange
arrêté,stopped
enfer,hell
écrire,to write
livres,books
habitude,habit
réponse,answer
david,David
lieutenant,lieutenant
savait,knew
radio,radio
tenez,hold
bande,band
bob,bob
rend,renders
compagnie,company
connu,known
secours,rescue
danse,dance
met,put
vol,flight
vit,lives
conneries,bullshit
aurez,will have
imagine,conceived
boîte,box
joué,plays
triste,sad
sud,south
lu,read
tel,such
merveilleux,wonderful
pute,whore
aie,Ouch
ressemble,looks like
coucher,to sleep
ennuis,troubles
volé,stolen
sortie,exit
devais,had to
combat,fight
bouche,mouth
certain,certain
visite,visit
existe,exist
bête,beast
retourne,return
approche,approach
pourtant,Yet
plusieurs,several
rire,laugh
but,aim
sergent,sergeant
public,audience
