French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
20,devrait,should
21,bébé,baby
22,longtemps,long time
23,heures,hours
24,vont,will
25,pendant,while
26,aucune,any
27,place,square
28,parle,speak
29,compris,understood
30,savais,knew
31,étaient,were
32,attention,Warning
33,voici,here is
34,pourrais,could
35,affaire,case
36,donner,give
37,type,type
38,leurs,their
39,donné,given
40,train,train
41,corps,body
42,endroit,place
43,yeux,eyes
44,façon,way
45,écoute,listen
46,dont,whose
47,trouve,find
48,premier,first
49,perdu,lost
50,main,hand
51,première,first
52,côté,side
53,pouvoir,power
54,vieux,old
55,sois,be
56,tiens,here
57,matin,morning
58,tellement,so much
59,enfant,child
60,point,point
61,suite,after
62,pardon,sorry
63,venez,come
64,devant,in front of
65,vers,towards
66,minutes,minutes
67,demandé,request
68,chambre,bedroom
69,mis,placed
70,belle,beautiful
71,droit,law
72,aimerais,would like to
73,aujourd'hui,today
74,mari,husband
75,cause,cause
76,enfin,finally
77,espère,hope
78,eau,water
79,attendez,Wait
80,parti,left
81,nouvelle,new
82,boulot,job
83,arrêter,Stop
84,dirait,would say
85,terre,Earth
86,compte,account
87,donne,given
88,loin,far
89,fin,end
90,croire,believe
91,chérie,sweetheart
92,gros,large
93,plutôt,rather
94,aura,will have
95,jouer,to play
96,bureau,office
97,je,I
98,de,of
99,est,East
100,pas,not
101,le,THE
102,vous,YOU
103,la,there
104,tu,you
105,que,that
106,un,A
107,il,he
108,et,And
109,à,has
110,a,has
111,ne,born
112,les,THE
113,ce,This
114,en,in
115,on,we
116,ça,That
117,une,a
118,ai,have
119,pour,For
120,des,of the
121,moi,Me
122,qui,Who
123,nous,We
124,y,Y
125,mais,but
126,me,me
127,dans,In
128,du,of
129,bien,GOOD
130,elle,She
131,si,if
132,tout,All
133,plus,more
134,non,No
135,mon,My
136,suis,am
137,te,you
138,au,At
139,avec,with
140,oui,Yes
141,toi,You
142,fait,do
143,ils,they
144,as,AS
145,être,be
146,faire,TO DO
147,se,se
148,comme,as
149,était,was
150,sur,on
151,quoi,What
152,ici,here
153,sais,know
154,lui,him
155,veux,want
156,ma,my
157,là,there
158,rien,Nothing
159,dit,said
160,es,es
161,où,Or
162,votre,your
163,pourquoi,Why
164,sont,are
165,cette,this
166,quand,When
167,par,by
168,son,her
169,ton,your
170,peux,can
171,vais,go
172,dire,say
173,alors,SO
174,comment,how
175,avez,have
176,bon,Good
177,ou,Or
178,très,very
179,merci,THANKS
180,ont,have
181,même,even
182,jamais,Never
183,aussi,Also
184,voir,see
185,allez,Go on
186,tous,all
187,deux,two
188,ces,these
189,faut,must
190,sa,her
191,êtes,are
192,été,summer
193,ta,your
194,fais,do
195,avoir,to have
196,peut,can
197,autre,other
198,m,M
199,encore,Again
200,maintenant,NOW
201,peu,little
202,mes,my
203,vraiment,Really
204,temps,time
205,notre,OUR
206,toujours,always
207,vie,life
208,sans,without
209,juste,just
210,oh,Oh
211,avait,had
212,accord,agreement
213,vu,seen
214,monde,world
215,quelque,some
216,fois,times
217,aller,go
218,trop,too much
219,viens,come
220,crois,believe
221,dieu,God
222,dois,must
223,homme,man
224,père,father
225,sûr,on
226,aux,to
227,leur,their
228,avant,Before
229,étais,is
230,besoin,need
231,femme,women
232,aime,love
233,personne,person
234,avais,had
235,chez,at the house of
236,vrai,TRUE
237,ans,years
238,mal,wrong
239,ses,his
240,parler,talk
